Time,Folder,Filename,Official,All,Highlights
2018-09-20-173159,,272060909.jpg,,x,
2018-09-20-173210,,272060908.jpg,,x,
2018-09-20-175453,,272060910.jpg,,x,
2018-09-20-181733,,IMG_4209.jpg,,,
2018-09-20-193409,,272060906.jpg,,x,
2018-09-20-194145,,IMG_4210.jpg,,,
2018-09-20-194524,,IMG_4211.jpg,,x,
2018-09-20-195558,,IMG_4212.jpg,,,
2018-09-20-205018,,272060912.jpg,,x,
2018-09-20-210510,,272060913.jpg,,x,
2018-09-20-210607,,IMG_4213.jpg,,x,
2018-09-21-115438,,IMG_4214.jpg,,,
2018-09-21-115451,,IMG_4215.jpg,,,
2018-09-21-115626,,IMG_4216.jpg,,,
2018-09-21-120151,,IMG_4217.jpg,,x,
2018-09-21-120221,,IMG_4218.jpg,,,
2018-09-21-123317,,IMG_4219.jpg,,x,
2018-09-21-124416,,IMG_4220.jpg,,x,
2018-09-21-124436,,IMG_4221.jpg,,,
2018-09-21-133058,,IMG_4222.jpg,,,
2018-09-21-133109,,IMG_4223.jpg,,,
2018-09-21-142514,,IMG_4224.jpg,,x,
2018-09-21-155952,,IMG_4225.jpg,,,
2018-09-21-175226,,272099614.jpg,,x,
2018-09-21-180659,,272099604.jpg,,,
2018-09-21-180701,,272099607.jpg,,x,
2018-09-21-181815,,272060892.jpg,,x,
2018-09-21-184311,,IMG_4226.jpg,,x,
2018-09-21-184431,,IMG_4227.jpg,,x,
2018-09-21-191640,,272060893.jpg,,x,
2018-09-21-220140,,IMG_4228.jpg,,,
2018-09-21-232459,,IMG_4229.jpg,,x,
2018-09-22-095513,Scott,DSC_0012.JPG,,x,
2018-09-22-114434,Official,002.jpg,,,
2018-09-22-114444,Official,003.jpg,x,x,
2018-09-22-114652,,IMG_4230.jpg,,,
2018-09-22-114655,,IMG_4231.jpg,,,
2018-09-22-114657,,IMG_4232.jpg,,,
2018-09-22-115516,Official,004.jpg,x,x,
2018-09-22-115521,Official,005.jpg,,,
2018-09-22-115524,Official,006.jpg,x,x,
2018-09-22-115547,Official,007.jpg,x,x,
2018-09-22-115548,Official,008.jpg,x,x,
2018-09-22-115557,Official,009.jpg,x,x,
2018-09-22-115641,Official,010.jpg,x,x,
2018-09-22-115721,Official,001.jpg,x,x,
2018-09-22-115751,Official,011.jpg,x,x,
2018-09-22-115832,Official,012.jpg,,,
2018-09-22-115840,Official,013.jpg,x,x,
2018-09-22-115844,Official,014.jpg,x,x,
2018-09-22-115921,Official,015.jpg,x,x,
2018-09-22-115926,Official,016.jpg,x,x,
2018-09-22-115935,Official,017.jpg,x,x,
2018-09-22-115938,Official,018.jpg,,,
2018-09-22-115946,Official,019.jpg,x,x,
2018-09-22-120033,Official,020.jpg,x,x,
2018-09-22-120036,Official,021.jpg,x,x,
2018-09-22-120050,Official,022.jpg,x,x,
2018-09-22-120055,Official,023.jpg,x,x,
2018-09-22-120137,Official,024.jpg,,,
2018-09-22-120224,Official,025.jpg,x,x,
2018-09-22-120246,Official,026.jpg,x,x,
2018-09-22-120309,Official,027.jpg,x,x,
2018-09-22-120310,Official,028.jpg,,,
2018-09-22-120446,Official,029.jpg,x,x,
2018-09-22-120447,Official,030.jpg,x,x,
2018-09-22-120523,Official,031.jpg,x,x,
2018-09-22-120605,Official,032.jpg,x,x,
2018-09-22-120623,Official,033.jpg,x,x,
2018-09-22-121045,Official,034.jpg,x,x,
2018-09-22-121237,Official,035.jpg,x,x,
2018-09-22-121633,Official,036.jpg,,,
2018-09-22-121828,Official,037.jpg,,,
2018-09-22-121855,Official,038.jpg,,,
2018-09-22-122212,Official,039.jpg,x,x,
